T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
498,Republic of Moldova,2010,All staff compensation as % of total expenditure in public institutions (%),62.6
498,Republic of Moldova,2010,Capital expenditure as % of total expenditure in public institutions (%),8.2
498,Republic of Moldova,2010,Public expenditure on education (% of GDP),7.6
498,Republic of Moldova,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.6
498,Republic of Moldova,2014,All staff compensation as % of total expenditure in public institutions (%),60.8
498,Republic of Moldova,2014,Capital expenditure as % of total expenditure in public institutions (%),10.6
498,Republic of Moldova,2014,Public expenditure on education (% of GDP),6.3
498,Republic of Moldova,2015,All staff compensation as % of total expenditure in public institutions (%),52.2
498,Republic of Moldova,2015,Capital expenditure as % of total expenditure in public institutions (%),7.5
498,Republic of Moldova,2015,Public expenditure on education (% of GDP),5.8
498,Republic of Moldova,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9
498,Republic of Moldova,2019,All staff compensation as % of total expenditure in public institutions (%),69.2
498,Republic of Moldova,2019,Capital expenditure as % of total expenditure in public institutions (%),8.9
498,Republic of Moldova,2019,Basic access to computers by level of education: Primary,100
498,Republic of Moldova,2019,Basic access to computers by level of education: Lower secondary,100
498,Republic of Moldova,2019,Basic access to computers by level of education: Upper secondary,100
498,Republic of Moldova,2019,Public expenditure on education (% of GDP),6.1
498,Republic of Moldova,2020,Basic access to computers by level of education: Primary,99.3
498,Republic of Moldova,2020,Basic access to computers by level of education: Lower secondary,100
498,Republic of Moldova,2020,Basic access to computers by level of education: Upper secondary,100
642,Romania,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.4
642,Romania,2005,All staff compensation as % of total expenditure in public institutions (%),59.1
642,Romania,2005,Capital expenditure as % of total expenditure in public institutions (%),6.5
642,Romania,2005,Public expenditure on education (% of GDP),3.5
642,Romania,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1
642,Romania,2010,All staff compensation as % of total expenditure in public institutions (%),62.2
642,Romania,2010,Capital expenditure as % of total expenditure in public institutions (%),10.8
642,Romania,2010,Public expenditure on education (% of GDP),3.5
642,Romania,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),31.8
642,Romania,2015,All staff compensation as % of total expenditure in public institutions (%),62.5
642,Romania,2015,Capital expenditure as % of total expenditure in public institutions (%),5.7
642,Romania,2015,Public expenditure on education (% of GDP),3.1
642,Romania,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.4
642,Romania,2018,All staff compensation as % of total expenditure in public institutions (%),69.4
642,Romania,2018,Capital expenditure as % of total expenditure in public institutions (%),5.2
642,Romania,2018,Public expenditure on education (% of GDP),3.3
643,Russian Federation,2005,Public expenditure on education (% of GDP),3.8
643,Russian Federation,2008,Public expenditure on education (% of GDP),4.1
643,Russian Federation,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.9
643,Russian Federation,2015,All staff compensation as % of total expenditure in public institutions (%),70.9
643,Russian Federation,2015,Capital expenditure as % of total expenditure in public institutions (%),7.2
643,Russian Federation,2015,Public expenditure on education (% of GDP),3.8
643,Russian Federation,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18
643,Russian Federation,2018,All staff compensation as % of total expenditure in public institutions (%),74.4
643,Russian Federation,2018,Capital expenditure as % of total expenditure in public institutions (%),7.6
643,Russian Federation,2018,Public expenditure on education (% of GDP),4.7
646,Rwanda,2001,Public expenditure on education (% of GDP),4.8
646,Rwanda,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.1
646,Rwanda,2010,All staff compensation as % of total expenditure in public institutions (%),58.7
646,Rwanda,2010,Capital expenditure as % of total expenditure in public institutions (%),16.1
646,Rwanda,2010,Public expenditure on education (% of GDP),4.6
646,Rwanda,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),41.4
646,Rwanda,2015,All staff compensation as % of total expenditure in public institutions (%),47.9
646,Rwanda,2015,Capital expenditure as % of total expenditure in public institutions (%),10.8
646,Rwanda,2015,Basic access to computers by level of education: Primary,58.8
646,Rwanda,2015,Basic access to computers by level of education: Lower secondary,71
646,Rwanda,2015,Basic access to computers by level of education: Upper secondary,71
646,Rwanda,2015,Public expenditure on education (% of GDP),3.6
646,Rwanda,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),44.8
646,Rwanda,2016,All staff compensation as % of total expenditure in public institutions (%),42.2
646,Rwanda,2016,Capital expenditure as % of total expenditure in public institutions (%),13
646,Rwanda,2016,Basic access to computers by level of education: Primary,65.8
646,Rwanda,2016,Basic access to computers by level of education: Lower secondary,71
646,Rwanda,2016,Basic access to computers by level of education: Upper secondary,71
646,Rwanda,2016,Public expenditure on education (% of GDP),3.4
646,Rwanda,2019,Basic access to computers by level of education: Primary,83.4
646,Rwanda,2019,Basic access to computers by level of education: Lower secondary,86
646,Rwanda,2019,Basic access to computers by level of education: Upper secondary,85
646,Rwanda,2019,Public expenditure on education (% of GDP),3.4
646,Rwanda,2020,Public expenditure on education (% of GDP),3.4
659,Saint Kitts and Nevis,2005,Public expenditure on education (% of GDP),3.8
659,Saint Kitts and Nevis,2007,Public expenditure on education (% of GDP),4.2
659,Saint Kitts and Nevis,2010,Basic access to computers by level of education: Primary,100
659,Saint Kitts and Nevis,2010,Basic access to computers by level of education: Lower secondary,100
659,Saint Kitts and Nevis,2010,Basic access to computers by level of education: Upper secondary,100
659,Saint Kitts and Nevis,2015,Public expenditure on education (% of GDP),2.6
659,Saint Kitts and Nevis,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.6
659,Saint Kitts and Nevis,2016,All staff compensation as % of total expenditure in public institutions (%),61.7
659,Saint Kitts and Nevis,2016,Capital expenditure as % of total expenditure in public institutions (%),19.8
662,Saint Lucia,2005,Public expenditure on education (% of GDP),4.2
662,Saint Lucia,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.4
662,Saint Lucia,2006,All staff compensation as % of total expenditure in public institutions (%),45.3
662,Saint Lucia,2006,Capital expenditure as % of total expenditure in public institutions (%),26.3
662,Saint Lucia,2006,Public expenditure on education (% of GDP),4.7
662,Saint Lucia,2010,Basic access to computers by level of education: Primary,100
662,Saint Lucia,2010,Basic access to computers by level of education: Lower secondary,100
662,Saint Lucia,2010,Basic access to computers by level of education: Upper secondary,100
662,Saint Lucia,2010,Public expenditure on education (% of GDP),3.5
662,Saint Lucia,2015,Capital expenditure as % of total expenditure in public institutions (%),11.7
662,Saint Lucia,2015,Public expenditure on education (% of GDP),3.9
662,Saint Lucia,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),10.1
662,Saint Lucia,2018,All staff compensation as % of total expenditure in public institutions (%),83.7
662,Saint Lucia,2018,Capital expenditure as % of total expenditure in public institutions (%),6.2
662,Saint Lucia,2018,Basic access to computers by level of education: Primary,100
662,Saint Lucia,2018,Basic access to computers by level of education: Lower secondary,100
662,Saint Lucia,2018,Basic access to computers by level of education: Upper secondary,100
662,Saint Lucia,2018,Public expenditure on education (% of GDP),3.3
662,Saint Lucia,2020,Basic access to computers by level of education: Primary,100
662,Saint Lucia,2020,Basic access to computers by level of education: Lower secondary,100
662,Saint Lucia,2020,Basic access to computers by level of education: Upper secondary,100
662,Saint Lucia,2020,Public expenditure on education (% of GDP),3.6
670,Saint Vincent & Grenadines,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.6
670,Saint Vincent & Grenadines,2005,All staff compensation as % of total expenditure in public institutions (%),51.9
670,Saint Vincent & Grenadines,2005,Capital expenditure as % of total expenditure in public institutions (%),33.6
670,Saint Vincent & Grenadines,2005,Public expenditure on education (% of GDP),6.4
670,Saint Vincent & Grenadines,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5.6
670,Saint Vincent & Grenadines,2010,All staff compensation as % of total expenditure in public institutions (%),94.4
670,Saint Vincent & Grenadines,2010,Basic access to computers by level of education: Lower secondary,100
670,Saint Vincent & Grenadines,2010,Basic access to computers by level of education: Upper secondary,100
670,Saint Vincent & Grenadines,2010,Public expenditure on education (% of GDP),5.1
670,Saint Vincent & Grenadines,2018,Basic access to computers by level of education: Primary,100
670,Saint Vincent & Grenadines,2018,Basic access to computers by level of education: Lower secondary,96
670,Saint Vincent & Grenadines,2018,Basic access to computers by level of education: Upper secondary,96
670,Saint Vincent & Grenadines,2018,Public expenditure on education (% of GDP),5.7
882,Samoa,2002,Public expenditure on education (% of GDP),3.8
882,Samoa,2008,Public expenditure on education (% of GDP),5.1
882,Samoa,2015,Public expenditure on education (% of GDP),4.9
882,Samoa,2020,Basic access to computers by level of education: Primary,99.4
882,Samoa,2020,Basic access to computers by level of education: Lower secondary,99
882,Samoa,2020,Basic access to computers by level of education: Upper secondary,100
882,Samoa,2020,Public expenditure on education (% of GDP),4.8
674,San Marino,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),4.2
674,San Marino,2010,All staff compensation as % of total expenditure in public institutions (%),95.8
674,San Marino,2010,Public expenditure on education (% of GDP),2.6
674,San Marino,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),5
674,San Marino,2011,All staff compensation as % of total expenditure in public institutions (%),95
674,San Marino,2011,Public expenditure on education (% of GDP),2.7
674,San Marino,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.3
674,San Marino,2019,All staff compensation as % of total expenditure in public institutions (%),91.2
674,San Marino,2019,Capital expenditure as % of total expenditure in public institutions (%),0.5
674,San Marino,2019,Basic access to computers by level of education: Primary,100
674,San Marino,2019,Basic access to computers by level of education: Lower secondary,100
674,San Marino,2019,Basic access to computers by level of education: Upper secondary,100
674,San Marino,2019,Public expenditure on education (% of GDP),3.4
674,San Marino,2020,Basic access to computers by level of education: Primary,100
674,San Marino,2020,Basic access to computers by level of education: Lower secondary,100
674,San Marino,2020,Basic access to computers by level of education: Upper secondary,100
678,Sao Tome and Principe,2005,Public expenditure on education (% of GDP),4.9
678,Sao Tome and Principe,2010,Public expenditure on education (% of GDP),9.7
678,Sao Tome and Principe,2015,Public expenditure on education (% of GDP),3.9
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Primary,58.7
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Lower secondary,90
678,Sao Tome and Principe,2017,Basic access to computers by level of education: Upper secondary,100
678,Sao Tome and Principe,2017,Public expenditure on education (% of GDP),5
678,Sao Tome and Principe,2019,Public expenditure on education (% of GDP),5.9
682,Saudi Arabia,2005,Public expenditure on education (% of GDP),5.4
682,Saudi Arabia,2008,Public expenditure on education (% of GDP),5.1
682,Saudi Arabia,2020,Basic access to computers by level of education: Primary,100
682,Saudi Arabia,2020,Basic access to computers by level of education: Lower secondary,100
682,Saudi Arabia,2020,Basic access to computers by level of education: Upper secondary,100
686,Senegal,2005,Public expenditure on education (% of GDP),4
686,Senegal,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
686,Senegal,2010,All staff compensation as % of total expenditure in public institutions (%),72.6
686,Senegal,2010,Capital expenditure as % of total expenditure in public institutions (%),9.1
686,Senegal,2010,Public expenditure on education (% of GDP),5.2
686,Senegal,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
686,Senegal,2015,All staff compensation as % of total expenditure in public institutions (%),61.7
686,Senegal,2015,Capital expenditure as % of total expenditure in public institutions (%),14.7
686,Senegal,2015,Public expenditure on education (% of GDP),5.5
686,Senegal,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.2
686,Senegal,2016,All staff compensation as % of total expenditure in public institutions (%),67.8
686,Senegal,2016,Capital expenditure as % of total expenditure in public institutions (%),5
686,Senegal,2016,Public expenditure on education (% of GDP),5.1
686,Senegal,2019,Basic access to computers by level of education: Primary,27.3
686,Senegal,2019,Basic access to computers by level of education: Lower secondary,81
686,Senegal,2019,Basic access to computers by level of education: Upper secondary,85
686,Senegal,2019,Public expenditure on education (% of GDP),5.3
686,Senegal,2020,Basic access to computers by level of education: Primary,28.5
686,Senegal,2020,Basic access to computers by level of education: Lower secondary,74
686,Senegal,2020,Basic access to computers by level of education: Upper secondary,89
688,Serbia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.4
688,Serbia,2010,All staff compensation as % of total expenditure in public institutions (%),75.1
688,Serbia,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5
688,Serbia,2010,Public expenditure on education (% of GDP),4.3
688,Serbia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.4
688,Serbia,2015,All staff compensation as % of total expenditure in public institutions (%),78.7
688,Serbia,2015,Capital expenditure as % of total expenditure in public institutions (%),1.9
688,Serbia,2015,Public expenditure on education (% of GDP),3.8
688,Serbia,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
688,Serbia,2019,All staff compensation as % of total expenditure in public institutions (%),75.8
688,Serbia,2019,Capital expenditure as % of total expenditure in public institutions (%),3.2
688,Serbia,2019,Public expenditure on education (% of GDP),3.6
690,Seychelles,2003,Public expenditure on education (% of GDP),5.4
690,Seychelles,2006,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.8
690,Seychelles,2006,All staff compensation as % of total expenditure in public institutions (%),56.7
690,Seychelles,2006,Capital expenditure as % of total expenditure in public institutions (%),13.5
690,Seychelles,2006,Public expenditure on education (% of GDP),4.8
690,Seychelles,2010,Public expenditure on education (% of GDP),3.5
690,Seychelles,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),51.7
690,Seychelles,2014,All staff compensation as % of total expenditure in public institutions (%),40.9
690,Seychelles,2014,Capital expenditure as % of total expenditure in public institutions (%),7.4
690,Seychelles,2014,Public expenditure on education (% of GDP),4.1
690,Seychelles,2015,Public expenditure on education (% of GDP),4.2
690,Seychelles,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),64.5
690,Seychelles,2016,All staff compensation as % of total expenditure in public institutions (%),30.2
690,Seychelles,2016,Capital expenditure as % of total expenditure in public institutions (%),5.2
690,Seychelles,2016,Basic access to computers by level of education: Primary,100
690,Seychelles,2016,Basic access to computers by level of education: Lower secondary,100
690,Seychelles,2016,Basic access to computers by level of education: Upper secondary,100
690,Seychelles,2016,Public expenditure on education (% of GDP),4.4
690,Seychelles,2019,Basic access to computers by level of education: Primary,100
690,Seychelles,2019,Basic access to computers by level of education: Lower secondary,100
690,Seychelles,2019,Basic access to computers by level of education: Upper secondary,100
690,Seychelles,2019,Public expenditure on education (% of GDP),3.9
690,Seychelles,2020,Basic access to computers by level of education: Primary,100
690,Seychelles,2020,Basic access to computers by level of education: Lower secondary,100
690,Seychelles,2020,Basic access to computers by level of education: Upper secondary,100
694,Sierra Leone,2005,Public expenditure on education (% of GDP),2.8
694,Sierra Leone,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.3
694,Sierra Leone,2010,All staff compensation as % of total expenditure in public institutions (%),69.1
694,Sierra Leone,2010,Capital expenditure as % of total expenditure in public institutions (%),2.5
694,Sierra Leone,2010,Public expenditure on education (% of GDP),2.6
694,Sierra Leone,2011,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.5
694,Sierra Leone,2011,All staff compensation as % of total expenditure in public institutions (%),74.3
694,Sierra Leone,2011,Capital expenditure as % of total expenditure in public institutions (%),1.2
694,Sierra Leone,2011,Public expenditure on education (% of GDP),2.7
694,Sierra Leone,2014,Capital expenditure as % of total expenditure in public institutions (%),0.5
694,Sierra Leone,2014,Public expenditure on education (% of GDP),2.7
694,Sierra Leone,2015,Public expenditure on education (% of GDP),3.1
694,Sierra Leone,2020,Basic access to computers by level of education: Primary,1.6
694,Sierra Leone,2020,Basic access to computers by level of education: Lower secondary,8
694,Sierra Leone,2020,Basic access to computers by level of education: Upper secondary,14
694,Sierra Leone,2020,Public expenditure on education (% of GDP),9.3
702,Singapore,2005,Public expenditure on education (% of GDP),3.2
702,Singapore,2010,Capital expenditure as % of total expenditure in public institutions (%),9.2
702,Singapore,2010,Public expenditure on education (% of GDP),3.1
702,Singapore,2013,Capital expenditure as % of total expenditure in public institutions (%),8.2
702,Singapore,2013,Public expenditure on education (% of GDP),2.9
702,Singapore,2015,Public expenditure on education (% of GDP),2.9
702,Singapore,2019,Basic access to computers by level of education: Primary,100
702,Singapore,2019,Basic access to computers by level of education: Lower secondary,100
702,Singapore,2019,Basic access to computers by level of education: Upper secondary,100
702,Singapore,2019,Public expenditure on education (% of GDP),2.6
702,Singapore,2020,Public expenditure on education (% of GDP),2.5
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Primary,100
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Lower secondary,100
534,Sint Maarten (Dutch part),2010,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.1
703,Slovakia,2005,All staff compensation as % of total expenditure in public institutions (%),60.2
703,Slovakia,2005,Capital expenditure as % of total expenditure in public institutions (%),5.6
703,Slovakia,2005,Public expenditure on education (% of GDP),3.8
703,Slovakia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.8
703,Slovakia,2010,All staff compensation as % of total expenditure in public institutions (%),57
703,Slovakia,2010,Capital expenditure as % of total expenditure in public institutions (%),12.2
703,Slovakia,2010,Public expenditure on education (% of GDP),4.1
703,Slovakia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32
703,Slovakia,2015,All staff compensation as % of total expenditure in public institutions (%),53
703,Slovakia,2015,Capital expenditure as % of total expenditure in public institutions (%),15
703,Slovakia,2015,Basic access to computers by level of education: Primary,99.7
703,Slovakia,2015,Basic access to computers by level of education: Lower secondary,100
703,Slovakia,2015,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2015,Public expenditure on education (% of GDP),4.6
703,Slovakia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),30.6
703,Slovakia,2016,All staff compensation as % of total expenditure in public institutions (%),64.2
703,Slovakia,2016,Capital expenditure as % of total expenditure in public institutions (%),5.3
703,Slovakia,2016,Basic access to computers by level of education: Primary,99.8
703,Slovakia,2016,Basic access to computers by level of education: Lower secondary,100
703,Slovakia,2016,Basic access to computers by level of education: Upper secondary,100
703,Slovakia,2016,Public expenditure on education (% of GDP),3.9
703,Slovakia,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),28.5
703,Slovakia,2018,All staff compensation as % of total expenditure in public institutions (%),65.5
703,Slovakia,2018,Capital expenditure as % of total expenditure in public institutions (%),6
703,Slovakia,2018,Public expenditure on education (% of GDP),4
705,Slovenia,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.6
705,Slovenia,2005,All staff compensation as % of total expenditure in public institutions (%),69.4
705,Slovenia,2005,Capital expenditure as % of total expenditure in public institutions (%),10
705,Slovenia,2005,Basic access to computers by level of education: Primary,100
705,Slovenia,2005,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2005,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2005,Public expenditure on education (% of GDP),5.6
705,Slovenia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.3
705,Slovenia,2010,All staff compensation as % of total expenditure in public institutions (%),70
705,Slovenia,2010,Capital expenditure as % of total expenditure in public institutions (%),8.7
705,Slovenia,2010,Basic access to computers by level of education: Primary,100
705,Slovenia,2010,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2010,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2010,Public expenditure on education (% of GDP),5.5
705,Slovenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.3
705,Slovenia,2015,All staff compensation as % of total expenditure in public institutions (%),69.6
705,Slovenia,2015,Capital expenditure as % of total expenditure in public institutions (%),8.2
705,Slovenia,2015,Basic access to computers by level of education: Primary,100
705,Slovenia,2015,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2015,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2015,Public expenditure on education (% of GDP),4.9
705,Slovenia,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
705,Slovenia,2016,All staff compensation as % of total expenditure in public institutions (%),66.5
705,Slovenia,2016,Capital expenditure as % of total expenditure in public institutions (%),12.8
705,Slovenia,2016,Basic access to computers by level of education: Primary,100
705,Slovenia,2016,Basic access to computers by level of education: Lower secondary,100
705,Slovenia,2016,Basic access to computers by level of education: Upper secondary,100
705,Slovenia,2016,Public expenditure on education (% of GDP),4.8
705,Slovenia,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1
705,Slovenia,2018,All staff compensation as % of total expenditure in public institutions (%),71.5
705,Slovenia,2018,Capital expenditure as % of total expenditure in public institutions (%),8.3
705,Slovenia,2018,Public expenditure on education (% of GDP),4.9
90,Solomon Islands,2010,Public expenditure on education (% of GDP),7.9
90,Solomon Islands,2015,Public expenditure on education (% of GDP),10.1
90,Solomon Islands,2019,Basic access to computers by level of education: Primary,13.2
90,Solomon Islands,2019,Basic access to computers by level of education: Lower secondary,30
90,Solomon Islands,2019,Basic access to computers by level of education: Upper secondary,42
710,South Africa,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
710,South Africa,2005,All staff compensation as % of total expenditure in public institutions (%),66.3
710,South Africa,2005,Capital expenditure as % of total expenditure in public institutions (%),2.9
710,South Africa,2005,Public expenditure on education (% of GDP),5.1
710,South Africa,2006,All staff compensation as % of total expenditure in public institutions (%),69.8
710,South Africa,2006,Capital expenditure as % of total expenditure in public institutions (%),3.5
710,South Africa,2006,Public expenditure on education (% of GDP),5.1
710,South Africa,2009,Capital expenditure as % of total expenditure in public institutions (%),3.8
710,South Africa,2009,Public expenditure on education (% of GDP),5.2
710,South Africa,2010,Public expenditure on education (% of GDP),5.7
710,South Africa,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.5
710,South Africa,2014,All staff compensation as % of total expenditure in public institutions (%),67.2
710,South Africa,2014,Capital expenditure as % of total expenditure in public institutions (%),3.3
710,South Africa,2014,Public expenditure on education (% of GDP),6
710,South Africa,2015,Public expenditure on education (% of GDP),6
710,South Africa,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.6
710,South Africa,2020,All staff compensation as % of total expenditure in public institutions (%),69.4
710,South Africa,2020,Capital expenditure as % of total expenditure in public institutions (%),4
710,South Africa,2020,Public expenditure on education (% of GDP),6.8
728,South Sudan,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),34.6
728,South Sudan,2014,All staff compensation as % of total expenditure in public institutions (%),48.8
728,South Sudan,2014,Capital expenditure as % of total expenditure in public institutions (%),16.5
728,South Sudan,2014,Public expenditure on education (% of GDP),1.2
728,South Sudan,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),75.5
728,South Sudan,2015,All staff compensation as % of total expenditure in public institutions (%),24.5
728,South Sudan,2015,Public expenditure on education (% of GDP),1.5
728,South Sudan,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.5
728,South Sudan,2016,All staff compensation as % of total expenditure in public institutions (%),93.5
728,South Sudan,2016,Public expenditure on education (% of GDP),1.5
724,Spain,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.7
724,Spain,2005,All staff compensation as % of total expenditure in public institutions (%),73.5
724,Spain,2005,Capital expenditure as % of total expenditure in public institutions (%),9.8
724,Spain,2005,Basic access to computers by level of education: Primary,100
724,Spain,2005,Basic access to computers by level of education: Lower secondary,100
724,Spain,2005,Public expenditure on education (% of GDP),4.1
724,Spain,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.7
724,Spain,2010,All staff compensation as % of total expenditure in public institutions (%),71.6
724,Spain,2010,Capital expenditure as % of total expenditure in public institutions (%),10.8
724,Spain,2010,Basic access to computers by level of education: Primary,100
724,Spain,2010,Basic access to computers by level of education: Lower secondary,100
724,Spain,2010,Basic access to computers by level of education: Upper secondary,100
724,Spain,2010,Public expenditure on education (% of GDP),4.9
724,Spain,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.2
724,Spain,2015,All staff compensation as % of total expenditure in public institutions (%),76.5
724,Spain,2015,Capital expenditure as % of total expenditure in public institutions (%),5.3
724,Spain,2015,Basic access to computers by level of education: Primary,100
724,Spain,2015,Basic access to computers by level of education: Lower secondary,100
724,Spain,2015,Basic access to computers by level of education: Upper secondary,100
724,Spain,2015,Public expenditure on education (% of GDP),4.3
724,Spain,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.9
724,Spain,2018,All staff compensation as % of total expenditure in public institutions (%),76
724,Spain,2018,Capital expenditure as % of total expenditure in public institutions (%),5.1
724,Spain,2018,Basic access to computers by level of education: Primary,100
724,Spain,2018,Basic access to computers by level of education: Lower secondary,100
724,Spain,2018,Basic access to computers by level of education: Upper secondary,100
724,Spain,2018,Public expenditure on education (% of GDP),4.2
724,Spain,2020,Basic access to computers by level of education: Primary,100
724,Spain,2020,Basic access to computers by level of education: Lower secondary,100
724,Spain,2020,Basic access to computers by level of education: Upper secondary,100
144,Sri Lanka,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.9
144,Sri Lanka,2010,All staff compensation as % of total expenditure in public institutions (%),75.5
144,Sri Lanka,2010,Capital expenditure as % of total expenditure in public institutions (%),14.6
144,Sri Lanka,2010,Public expenditure on education (% of GDP),1.7
144,Sri Lanka,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.3
144,Sri Lanka,2015,All staff compensation as % of total expenditure in public institutions (%),62.4
144,Sri Lanka,2015,Capital expenditure as % of total expenditure in public institutions (%),19.3
144,Sri Lanka,2015,Public expenditure on education (% of GDP),2.2
144,Sri Lanka,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24
144,Sri Lanka,2018,All staff compensation as % of total expenditure in public institutions (%),50.7
144,Sri Lanka,2018,Capital expenditure as % of total expenditure in public institutions (%),25.3
144,Sri Lanka,2018,Basic access to computers by level of education: Primary,50.8
144,Sri Lanka,2018,Basic access to computers by level of education: Lower secondary,72
144,Sri Lanka,2018,Public expenditure on education (% of GDP),2.1
144,Sri Lanka,2019,Basic access to computers by level of education: Primary,56.3
144,Sri Lanka,2019,Basic access to computers by level of education: Lower secondary,77
144,Sri Lanka,2019,Basic access to computers by level of education: Upper secondary,80
275,State of Palestine,2010,Public expenditure on education (% of GDP),6.2
275,State of Palestine,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.3
275,State of Palestine,2015,All staff compensation as % of total expenditure in public institutions (%),85.2
275,State of Palestine,2015,Capital expenditure as % of total expenditure in public institutions (%),3.5
275,State of Palestine,2015,Public expenditure on education (% of GDP),4.7
275,State of Palestine,2017,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2
275,State of Palestine,2017,All staff compensation as % of total expenditure in public institutions (%),83.5
275,State of Palestine,2017,Capital expenditure as % of total expenditure in public institutions (%),2.2
275,State of Palestine,2017,Basic access to computers by level of education: Primary,76.4
275,State of Palestine,2017,Basic access to computers by level of education: Lower secondary,92
275,State of Palestine,2017,Basic access to computers by level of education: Upper secondary,97
275,State of Palestine,2017,Public expenditure on education (% of GDP),4.7
275,State of Palestine,2018,Basic access to computers by level of education: Primary,73.6
275,State of Palestine,2018,Basic access to computers by level of education: Lower secondary,89
275,State of Palestine,2018,Basic access to computers by level of education: Upper secondary,95
275,State of Palestine,2018,Public expenditure on education (% of GDP),5.3
275,State of Palestine,2020,Basic access to computers by level of education: Primary,83.5
275,State of Palestine,2020,Basic access to computers by level of education: Lower secondary,95
275,State of Palestine,2020,Basic access to computers by level of education: Upper secondary,99
729,Sudan,2005,Public expenditure on education (% of GDP),1.6
729,Sudan,2009,Public expenditure on education (% of GDP),2.2
